id,Year,Month,Day,Hour,Minute,Tsunami,Country,LocationName,Latitude,Longitude,FocalDepth,Magnitude,Deaths,Missing,Injuries,Damage,HousesDestroyed,HousesDamaged
1.0,1868.0,8.0,13.0,21.0,30.0,983.0,CHILE,CHILE:  ARICA,-18.6,-71.0,25.0,8.5,25000.0,0.0,0.0,0.0,0.0,0.0
2.0,1869.0,8.0,24.0,17.0,10.0,1010.0,CHILE,CHILE:  IQUIQUE. PICA; PERU:  TACNA,-19.6,-70.23,30.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1877.0,5.0,10.0,0.0,59.0,1075.0,CHILE,CHILE:  OFF NORTH COAST,-21.5,-70.5,40.0,8.3,103.0,0.0,0.0,1.6,0.0,0.0
4.0,1878.0,1.0,23.0,12.0,5.0,1090.0,CHILE,CHILE:  TARAPACA,-19.92,-70.335,40.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1906.0,8.0,17.0,0.0,40.0,1339.0,CHILE,CHILE:  SOUTH CENTRAL,-33.0,-72.0,25.0,8.2,4000.0,0.0,0.0,100.0,0.0,0.0
6.0,1914.0,1.0,30.0,3.0,35.0,0.0,CHILE,CHILE:  OFF CENTRAL COAST,-35.0,-73.0,33.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1918.0,5.0,20.0,17.0,55.0,1453.0,CHILE,CHILE:  NORTHERN,-28.5,-71.5,80.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1920.0,8.0,20.0,16.0,15.0,1485.0,CHILE,CHILE:  OFF COAST CENTRAL,-38.0,-73.5,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1922.0,11.0,11.0,4.0,32.0,1505.0,CHILE,CHILE:  ATACAMA,-28.293,-69.852,70.0,8.5,500.0,0.0,0.0,0.0,0.0,0.0
10.0,1923.0,5.0,4.0,22.0,26.0,1518.0,CHILE,CHILE:  VALLENAR,-28.75,-71.75,60.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1925.0,5.0,15.0,11.0,56.0,1555.0,CHILE,CHILE:  NORTHERN,-26.0,-71.5,50.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1926.0,12.0,9.0,22.0,38.0,1573.0,CHILE,CHILE:  VALLENAR,-28.0,-71.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1927.0,11.0,21.0,23.0,12.0,1586.0,CHILE,CHILE:  SOUTHERN,-44.6,-73.0,33.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1928.0,11.0,20.0,20.0,35.0,1608.0,CHILE,CHILE:  NORTHERN,-22.5,-70.5,33.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1928.0,12.0,1.0,4.0,6.0,1609.0,CHILE,CHILE:  TALCA. CHILLAN. SANTIAGO. SAN FERNANDO,-35.0,-72.0,25.0,7.6,279.0,0.0,0.0,0.0,0.0,0.0
16.0,1929.0,10.0,19.0,10.0,12.0,0.0,CHILE,CHILE,-23.0,-69.0,100.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1931.0,3.0,18.0,8.0,2.0,1640.0,CHILE,CHILE:  CENTRAL,-32.5,-72.0,33.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
